,Date,State,Region,Confirmed,Deaths,Recovered
181,4/29/2020,Alabama,US,6912,256,0
182,4/29/2020,Alaska,US,355,9,0
183,4/29/2020,Alberta,Canada,5165,87,0
185,4/29/2020,Anhui,Mainland China,991,6,985
186,4/29/2020,Arizona,US,7209,308,0
187,4/29/2020,Arkansas,US,3193,57,0
188,4/29/2020,Aruba,Netherlands,100,2,73
189,4/29/2020,Australian Capital Territory,Australia,106,3,101
190,4/29/2020,Beijing,Mainland China,593,9,542
191,4/29/2020,Bermuda,UK,111,6,48
193,4/29/2020,British Columbia,Canada,2087,109,0
195,4/29/2020,California,US,48747,1946,0
196,4/29/2020,Cayman Islands,UK,73,1,10
197,4/29/2020,Channel Islands,UK,537,38,386
198,4/29/2020,Chongqing,Mainland China,579,6,573
199,4/29/2020,Colorado,US,14758,766,0
200,4/29/2020,Connecticut,US,26767,2169,0
201,4/29/2020,Curacao,Netherlands,16,1,13
202,4/29/2020,Delaware,US,4655,144,0
204,4/29/2020,Diamond Princess cruise ship,US,49,0,0
205,4/29/2020,District of Columbia,US,4106,205,0
206,4/29/2020,Falkland Islands (Malvinas),UK,13,0,11
207,4/29/2020,Faroe Islands,Denmark,187,0,181
208,4/29/2020,Florida,US,33193,1218,0
209,4/29/2020,French Guiana,France,125,1,93
210,4/29/2020,French Polynesia,France,58,0,50
211,4/29/2020,Fujian,Mainland China,355,1,353
212,4/29/2020,Gansu,Mainland China,139,2,137
213,4/29/2020,Georgia,US,25775,1101,0
214,4/29/2020,Gibraltar,UK,141,0,131
215,4/29/2020,Grand Princess,Canada,13,0,0
216,4/29/2020,Grand Princess,US,103,3,0
217,4/29/2020,Greenland,Denmark,11,0,11
218,4/29/2020,Guadeloupe,France,149,12,82
219,4/29/2020,Guam,US,141,5,0
220,4/29/2020,Guangdong,Mainland China,1588,8,1557
221,4/29/2020,Guangxi,Mainland China,254,2,252
222,4/29/2020,Guizhou,Mainland China,147,2,145
223,4/29/2020,Hainan,Mainland China,168,6,162
224,4/29/2020,Hawaii,US,613,16,0
225,4/29/2020,Hebei,Mainland China,328,6,318
226,4/29/2020,Heilongjiang,Mainland China,939,13,587
227,4/29/2020,Henan,Mainland China,1276,22,1254
228,4/29/2020,Hong Kong,Hong Kong,1037,4,830
229,4/29/2020,Hubei,Mainland China,68128,4512,63616
230,4/29/2020,Hunan,Mainland China,1019,4,1015
231,4/29/2020,Idaho,US,1952,60,0
232,4/29/2020,Illinois,US,50358,2215,0
233,4/29/2020,Indiana,US,17182,964,0
234,4/29/2020,Inner Mongolia,Mainland China,200,1,150
235,4/29/2020,Iowa,US,6843,148,0
236,4/29/2020,Isle of Man,UK,313,21,258
237,4/29/2020,Jiangsu,Mainland China,653,0,648
238,4/29/2020,Jiangxi,Mainland China,937,1,936
239,4/29/2020,Jilin,Mainland China,111,1,99
240,4/29/2020,Kansas,US,3839,134,0
241,4/29/2020,Kentucky,US,4537,234,0
242,4/29/2020,Liaoning,Mainland China,146,2,143
243,4/29/2020,Louisiana,US,27660,1845,0
244,4/29/2020,Macau,Macau,45,0,34
245,4/29/2020,Maine,US,1056,52,0
246,4/29/2020,Manitoba,Canada,275,6,0
247,4/29/2020,Martinique,France,175,14,83
248,4/29/2020,Maryland,US,20849,1078,0
249,4/29/2020,Massachusetts,US,60265,3405,0
250,4/29/2020,Mayotte,France,460,4,235
251,4/29/2020,Michigan,US,40399,3670,0
252,4/29/2020,Minnesota,US,4644,319,0
253,4/29/2020,Mississippi,US,6569,250,0
254,4/29/2020,Missouri,US,7660,338,0
255,4/29/2020,Montana,US,451,16,0
256,4/29/2020,Montserrat,UK,11,1,2
257,4/29/2020,Nebraska,US,3851,56,0
258,4/29/2020,Nevada,US,4934,230,0
259,4/29/2020,New Brunswick,Canada,118,0,0
260,4/29/2020,New Caledonia,France,18,0,17
261,4/29/2020,New Hampshire,US,2058,60,0
262,4/29/2020,New Jersey,US,116365,6771,0
263,4/29/2020,New Mexico,US,3213,112,0
264,4/29/2020,New South Wales,Australia,3016,40,2284
265,4/29/2020,New York,US,299691,23477,0
266,4/29/2020,Newfoundland and Labrador,Canada,258,3,0
267,4/29/2020,Ningxia,Mainland China,75,0,75
268,4/29/2020,North Carolina,US,10180,382,0
269,4/29/2020,North Dakota,US,1033,19,0
270,4/29/2020,Northern Mariana Islands,US,14,2,0
271,4/29/2020,Northern Territory,Australia,28,0,25
273,4/29/2020,Nova Scotia,Canada,935,28,0
274,4/29/2020,Ohio,US,17303,937,0
275,4/29/2020,Oklahoma,US,3473,214,0
276,4/29/2020,Ontario,Canada,16978,1153,0
277,4/29/2020,Oregon,US,2446,101,0
278,4/29/2020,Pennsylvania,US,46327,2373,0
279,4/29/2020,Prince Edward Island,Canada,27,0,0
280,4/29/2020,Puerto Rico,US,1433,86,0
281,4/29/2020,Qinghai,Mainland China,18,0,18
282,4/29/2020,Quebec,Canada,26610,1762,0
283,4/29/2020,Queensland,Australia,1033,6,943
286,4/29/2020,Reunion,France,420,0,300
287,4/29/2020,Rhode Island,US,8247,251,0
290,4/29/2020,Saskatchewan,Canada,383,6,0
291,4/29/2020,Shaanxi,Mainland China,306,3,253
292,4/29/2020,Shandong,Mainland China,787,7,772
293,4/29/2020,Shanghai,Mainland China,647,7,597
294,4/29/2020,Shanxi,Mainland China,197,0,164
295,4/29/2020,Sichuan,Mainland China,561,3,558
